Platebarcode	Well	nrCells	area	intensity
PLATE11003	D2	34734	59.2702432730168	0.031216420151259
PLATE11003	D3	35524	60.136172210999	0.0290443379780185
PLATE11003	D4	50268	63.3235046852807	0.0375234954425147
PLATE11003	D5	38522	61.3505073331096	0.0306767556808933
PLATE11003	D6	38362	62.3552309838445	0.0324788512887846
PLATE11003	D7	57631	61.6832353898748	0.0366312762547901
PLATE11003	D8	48628	59.2429306929886	0.0362482687285771
PLATE11003	D9	45942	59.48847957671	0.0321619921129528
PLATE11003	D10	57346	62.212555734705	0.0391438900311123
PLATE11003	D11	48826	60.4556873489026	0.0344101295355778
PLATE11003	D12	46110	62.0178170873941	0.0344700880781052
PLATE11003	E1	35339	61.6707881038175	0.0286759312173097
PLATE11003	E2	28580	57.8400665423803	0.0269194293738907
PLATE11003	E3	35067	62.5551712517018	0.0299373940474377
PLATE11003	E4	34656	61.1966965829569	0.0303680115012576
PLATE11003	E5	26905	55.8177303855085	0.0246352171030916
PLATE11003	E6	37102	64.0602360467676	0.0320370022843659
PLATE11003	E7	51483	60.5323100621227	0.0327940355216614
PLATE11003	E8	43192	56.1343901999972	0.0309025438435475
PLATE11003	E9	48834	61.3803345045842	0.0334430313427614
PLATE11003	E10	49692	61.2363731923122	0.0353137545213894
PLATE11003	E11	44059	54.9626117606874	0.0280621791014016
PLATE11003	E12	50681	62.1976438306111	0.0349170671517141
PLATE11003	F1	18919	50.9837233406148	0.0213264526618961
PLATE11003	F2	33583	62.1683292668371	0.0291747952198894
PLATE11003	F3	32912	62.6393593690741	0.0281610879882199
PLATE11003	F4	19787	53.8084114813293	0.0241502326050273
PLATE11003	F5	9945	36.9179799129254	0.0169914839885951
PLATE11003	F6	33219	64.6387915899916	0.0315362067705216
PLATE11003	F7	39756	58.1955234254353	0.028492687364868
PLATE11003	F8	48535	60.1393789995558	0.0332677865399909
PLATE11003	F9	51180	60.6483361690765	0.0323027936847571
PLATE11003	F10	41304	59.4431470265547	0.0314229176983387
PLATE11003	F11	10388	36.5961399921928	0.01783404539414
PLATE11003	F12	49581	61.5530896326482	0.0349857636857044
PLATE11003	G1	35686	60.8008735554171	0.0300367274048244
PLATE11003	G2	32770	63.603184489852	0.0307057453230039
PLATE11003	G3	32334	62.2523169287544	0.0291279741656677
PLATE11003	G4	35733	63.871194294051	0.0322492850518314
PLATE11003	G5	35923	62.0033667733656	0.0302843735250387
PLATE11003	G6	33219	63.5525776204609	0.0309920607423516
PLATE11003	G7	52273	59.7280663928765	0.0333149558779802
PLATE11003	G8	44889	61.3824699590611	0.0342211081345891
PLATE11003	G9	45114	60.169913439503	0.0320744717402598
PLATE11003	G10	48167	62.0636958146003	0.0354037810068175
PLATE11003	G11	51969	60.6146538891925	0.0343960154235236
PLATE11003	G12	46129	61.4628207984919	0.0342812450677418
PLATE11003	H1	21512	47.150929776057	0.0287341827278584
PLATE11003	H2	32722	62.5293277385144	0.0304641913174916
PLATE11003	H3	23475	42.7542630135506	0.036475564591884
PLATE11003	H4	27977	61.989112547769	0.0280115494237193
PLATE11003	H5	22835	49.4839095204292	0.0295282397262537
